sku,rev,ord,rev_rank,ord_rank,low_rotation_flag,dead_flag
BL113-XXL,1479.0,3,5378.0,5335.5,0,0
BTM002-B-L,518.0,1,6690.5,6746.5,0,1
BTM002-B-M,2801.0,5,4307.0,4401.5,0,0
BTM002-B-XL,518.0,1,6690.5,6746.5,0,1
BTM002-B-XXL,2420.0,4,4582.5,4820.5,0,0
BTM002-B-XXXL,518.0,1,6690.5,6746.5,0,1
BTM002-L,518.0,1,6690.5,6746.5,0,1
BTM002-S,1036.0,2,5874.5,5959.0,0,0
BTM002-XL,1036.0,2,5874.5,5959.0,0,0
BTM002-XXXL,518.0,1,6690.5,6746.5,0,1
BTM003-B-L,0.0,1,7187.5,6746.5,0,1
BTM003-B-XXXL,518.0,1,6690.5,6746.5,0,1
BTM003-M,518.0,1,6690.5,6746.5,0,1
BTM003-XXXL,518.0,1,6690.5,6746.5,0,1
BTM004-XXXL,349.0,1,6967.0,6746.5,0,1
BTM005-B-L,518.0,1,6690.5,6746.5,0,1
BTM005-L,518.0,1,6690.5,6746.5,0,1
BTM005-XXL,518.0,1,6690.5,6746.5,0,1
BTM005-XXXL,518.0,1,6690.5,6746.5,0,1
BTM008-B-L,1036.0,2,5874.5,5959.0,0,0
BTM008-B-M,1036.0,2,5874.5,5959.0,0,0
BTM008-B-XXL,1036.0,2,5874.5,5959.0,0,0
BTM008-L,518.0,1,6690.5,6746.5,0,1
BTM008-XL,1036.0,2,5874.5,5959.0,0,0
BTM008-XXL,1036.0,2,5874.5,5959.0,0,0
BTM008-XXXL,518.0,1,6690.5,6746.5,0,1
BTM021-B-L,518.0,1,6690.5,6746.5,0,1
BTM021-B-XS,518.0,2,6690.5,5959.0,0,0
BTM021-B-XXL,518.0,1,6690.5,6746.5,0,1
BTM021-B-XXXL,518.0,1,6690.5,6746.5,0,1
BTM026-NP-L,1036.0,2,5874.5,5959.0,0,0
BTM026-NP-M,518.0,2,6690.5,5959.0,0,0
BTM026-NP-S,518.0,1,6690.5,6746.5,0,1
BTM026-NP-XL,1036.0,2,5874.5,5959.0,0,0
BTM026-NP-XS,518.0,1,6690.5,6746.5,0,1
BTM026-NP-XXL,729.0,1,6310.5,6746.5,0,0
BTM026-NP-XXXL,1036.0,2,5874.5,5959.0,0,0
BTM027-NP-L,493.34,1,6751.0,6746.5,0,1
BTM027-NP-XXL,518.0,1,6690.5,6746.5,0,1
BTM027-NP-XXXL,1554.0,3,5304.0,5335.5,0,0
BTM029-NP-L,1036.0,2,5874.5,5959.0,0,0
BTM029-NP-M,1641.0,3,5203.5,5335.5,0,0
BTM029-NP-S,1554.0,3,5304.0,5335.5,0,0
BTM029-NP-XL,2047.33,4,4867.0,4820.5,0,0
BTM029-NP-XS,518.0,1,6690.5,6746.5,0,1
BTM029-NP-XXL,1554.0,3,5304.0,5335.5,0,0
BTM029-NP-XXXL,1036.0,2,5874.5,5959.0,0,0
BTM030-NP-M,284.0,1,7145.5,6746.5,0,1
BTM030-NP-S,605.0,1,6512.5,6746.5,0,1
BTM030-NP-XL,301.0,1,7101.5,6746.5,0,1
BTM030-NP-XS,1420.0,5,5455.5,4401.5,0,0
BTM030-NP-XXL,554.48,2,6629.0,5959.0,0,0
BTM030-NP-XXXL,1488.0,5,5366.5,4401.5,0,0
BTM031-NP-L,2072.0,4,4838.0,4820.5,0,0
BTM031-NP-M,1123.0,2,5775.0,5959.0,0,0
BTM031-NP-XL,2590.0,5,4454.5,4401.5,0,0
BTM031-NP-XS,518.0,1,6690.5,6746.5,0,1
BTM031-NP-XXL,518.0,1,6690.5,6746.5,0,1
BTM032-NP-M,286.67,1,7142.5,6746.5,0,1
BTM032-NP-S,3652.0,10,3803.0,2967.0,1,0
BTM032-NP-XS,594.0,2,6563.5,5959.0,0,0
BTM033-NP-XS,297.0,1,7136.0,6746.5,0,1
BTM033-NP-XXL,297.0,1,7136.0,6746.5,0,1
BTM033-NP-XXXL,899.0,3,6086.0,5335.5,0,0
BTM035-NP-XS,568.0,2,6604.5,5959.0,0,0
BTM035-NP-XXXL,903.0,3,6075.0,5335.5,0,0
BTM036-PP-L,1097.0,3,5801.0,5335.5,0,0
BTM036-PP-M,360.0,1,6954.0,6746.5,0,1
BTM036-PP-S,737.0,2,6304.0,5959.0,0,0
BTM036-PP-XL,786.0,2,6247.0,5959.0,0,0
BTM036-PP-XXL,1787.0,5,5077.0,4401.5,0,0
BTM036-PP-XXXL,1422.86,4,5452.5,4820.5,0,0
BTM037-PP-M,345.0,1,6977.5,6746.5,0,1
BTM037-PP-S,345.0,1,6977.5,6746.5,0,1
BTM037-PP-XL,1050.0,3,5846.0,5335.5,0,0
BTM037-PP-XS,360.0,1,6954.0,6746.5,0,1
BTM037-PP-XXL,345.0,1,6977.5,6746.5,0,1
BTM037-PP-XXXL,1047.86,3,5852.0,5335.5,0,0
BTM038-PP-L,1116.0,3,5782.0,5335.5,0,0
BTM038-PP-S,2989.9,8,4187.0,3433.0,1,0
BTM038-PP-XS,360.0,1,6954.0,6746.5,0,1
BTM038-PP-XXL,1326.86,3,5538.0,5335.5,0,0
BTM038-PP-XXXL,2610.05,7,4432.0,3717.5,0,0
BTM039-PP-L,2142.86,5,4781.5,4401.5,0,0
BTM039-PP-M,2828.58,7,4293.0,3717.5,0,0
BTM039-PP-S,2142.86,6,4781.5,4040.0,0,0
BTM039-PP-XL,2451.44,5,4553.0,4401.5,0,0
BTM039-PP-XS,1045.72,2,5856.0,5959.0,0,0
BTM039-PP-XXL,720.0,1,6316.5,6746.5,0,0
BTM039-PP-XXXL,2862.86,8,4267.0,3433.0,1,0
BTM040-PP-M,331.0,1,6996.5,6746.5,0,1
BTM040-PP-S,749.0,2,6295.5,5959.0,0,0
BTM040-PP-XL,701.0,2,6329.0,5959.0,0,0
BTM040-PP-XS,950.0,2,6024.0,5959.0,0,0
BTM040-PP-XXL,1377.0,4,5482.5,4820.5,0,0
BTM040-PP-XXXL,1035.0,3,5885.0,5335.5,0,0
BTM041-PP-L,0.0,2,7187.5,5959.0,0,0
BTM041-PP-S,345.0,1,6977.5,6746.5,0,1
BTM041-PP-XL,1308.24,4,5551.0,4820.5,0,0
BTM041-PP-XS,345.0,1,6977.5,6746.5,0,1
BTM041-PP-XXL,690.0,2,6349.5,5959.0,0,0
BTM041-PP-XXXL,1352.0,4,5509.5,4820.5,0,0
BTM042-PP-L,2214.0,6,4725.0,4040.0,0,0
BTM042-PP-M,963.0,3,6005.0,5335.5,0,0
BTM042-PP-S,317.0,1,7061.0,6746.5,0,1
